Date,Price,Open,High,Low,Vol_BTC,Vol_USD,retornos
2018-03-11,11330,11415,11506,11281,162110.0,"1,836,706,300",0.19
2018-03-18,9137,9535,9892,8804,257910.00000000003,"2,356,523,670",-0.165
2018-03-25,8616,8200,8698,8127,316960.0,"2,730,927,360",-0.14
2018-04-01,8143,8474,8515,7865,247180.0,"2,012,786,740",0.033
2018-04-08,7068,6825,7121,6787,199310.0,"1,408,723,080",-0.195
2018-04-15,6781,7035,7192,6633,241190.0,"1,635,509,390",0.031
2018-04-22,8070,8362,8412,7908,197700.0,"1,595,439,000",0.189
2018-04-29,8952,8809,9001,8785,147540.0,"1,320,778,080",0.053
2018-05-06,9245,9415,9456,9135,156830.0,"1,449,893,350",0.069
2018-05-13,9431,9651,9675,9204,165080.0,"1,556,869,480",0.025
2018-05-20,8674,8693,8878,8305,212050.0,"1,839,321,700",-0.099
2018-05-27,8403,8529,8550,8375,115520.0,"970,714,560",-0.019
2018-06-03,7119,7367,7446,7090,152290.0,"1,084,152,510",-0.136
2018-06-10,7504,7729,7759,7468,141010.0,"1,058,139,040",0.049
2018-06-17,6885,6775,6910,6657,174880.0,"1,204,048,800",-0.123
2018-06-24,6719,6460,6794,6410,135700.0,"911,768,300",-0.046
2018-07-01,6256,6155,6331,6101,210690.0,"1,318,076,640",-0.047
2018-07-08,6619,6349,6680,6275,179920.0,"1,190,890,480",0.032
2018-07-15,6667,6715,6793,6637,289480.0,"1,929,963,160",0.058
2018-07-22,6729,6362,6749,6344,312120.0,"2,100,255,480",-0.053
2018-07-29,7723,7412,7809,7379,272150.0,"2,101,814,450",0.165
2018-08-05,8177,8214,8262,7874,242210.0,"1,980,551,170",0.108
2018-08-12,6943,7027,7143,6852,168870.0,"1,172,464,410",-0.145
2018-08-19,6255,6313,6524,6159,234090.0,"1,464,232,950",-0.102
2018-08-26,6268,6474,6516,6255,3100.0,"19,430,800",0.026
2018-09-02,6897,6712,6902,6650,3260.0,"22,484,220",0.037
2018-09-09,7264,7289,7330,7182,3870.0,"28,111,680",0.086
2018-09-16,6321,6238,6358,6237,3110.0,"19,658,310",-0.144
2018-09-23,6251,6500,6533,6215,3260.0,"20,378,260",0.042
2018-09-30,6584,6713,6728,6559,7570.0,"49,840,880",0.033
2018-10-07,6608,6635,6674,6072,9190.0,"60,727,520",-0.012
2018-10-14,6669,6611,6699,6589,119680.0,"798,145,920",-0.004
2018-10-21,6699,6326,7358,6300,443330.0,"2,969,867,670",-0.043
2018-10-28,6555,6583,6612,6529,101570.0,"665,791,350",0.041
2018-11-04,6335,6486,6498,6310,160520.0,"1,016,894,200",-0.015
2018-11-11,6459,6478,6489,6431,128509.99999999999,"830,046,090",-0.001
2018-11-18,6435,6445,6475,6409,130160.0,"837,579,600",-0.005
2018-11-25,4883,5660,5662,4831,478260.0,"2,335,343,580",-0.122
2018-12-02,3837,4061,4179,3679,571040.0,"2,191,080,480",-0.283
2018-12-09,3897,4160,4177,3839,355100.0,"1,383,824,700",0.024
2018-12-16,3460,3566,3622,3412,394490.0,"1,364,935,400",-0.143
2018-12-23,3526,3248,3597,3243,534780.0,"1,885,634,280",-0.089
2018-12-30,4026,3944,4208,3941,716290.0,"2,883,783,540",0.214
2019-01-06,3709,3815,3819,3658,545830.0,"2,024,483,470",-0.033
2019-01-13,3985,4004,4028,3945,500880.0,"1,996,006,800",0.05
2019-01-20,3638,3490,3672,3490,539930.0,"1,964,265,340",-0.128
2019-01-27,3536,3542,3561,3505,394170.0,"1,393,785,120",0.015
2019-02-03,3442,3555,3561,3395,620850.0,"2,136,965,700",0.004
2019-02-10,3462,3459,3479,3437,503920.0,"1,744,571,040",-0.027
2019-02-17,3631,3678,3681,3623,517280.0,"1,878,243,680",0.063
2019-02-24,3896,3664,3903,3655,933150.0,"3,635,552,400",-0.004
2019-03-03,3833,3755,3870,3753,765870.0,"2,935,579,710",0.025
2019-03-10,3715,3809,3828,3681,2850.0,"10,587,750",0.014
2019-03-17,3870,3915,3935,3842,3190.0,"12,345,300",0.028
2019-03-24,3990,3981,4032,3958,2620.0,"10,453,800",0.017
2019-03-31,3937,3994,4000,3897,2860.0,"11,259,820",0.003
2019-04-07,4145,4102,4159,4076,3220.0,"13,346,900",0.027
2019-04-14,5245,5173,5300,5060,928230.0,"4,868,566,350",0.261
2019-04-21,5032,5135,5168,4964,688200.0,"3,463,022,400",-0.007
2019-04-28,5346,5248,5370,5170,920770.0,"4,922,436,420",0.022
2019-05-05,5235,5302,5322,5188,775820.0,"4,061,417,700",0.01
2019-05-12,5745,5775,5801,5630,755390.0,"4,339,715,550",0.089
2019-05-19,7806,6984,8058,6893,1200.0,"9,367,200",0.209
2019-05-26,7965,8156,8156,7604,958810.0,"7,636,921,650",0.168
2019-06-02,8760,8628,8902,8607,907960.0,"7,953,729,600",0.058
2019-06-09,8124,8728,8734,8102,739450.0,"6,007,291,800",0.012
2019-06-16,7987,7635,8012,7523,641380.0,"5,122,702,060",-0.125
2019-06-23,9318,8961,9438,8959,738800.0,"6,884,138,400",0.174
2019-06-30,11046,10897,11114,10622,566960.0,"6,262,640,160",0.216
2019-07-07,10616,10821,11254,10041,1040.0,"11,040,640",-0.007
2019-07-14,12252,11415,12332,11304,695600.0,"8,522,491,200",0.055
2019-07-21,10845,10199,11064,9885,956520.0,"10,373,459,400",-0.107
2019-07-28,10412,10715,10806,10196,591270.0,"6,156,303,240",0.051
2019-08-04,9580,9728,9835,9502,510900.0,"4,894,422,000",-0.092
2019-08-11,11816,10934,11922,10934,769630.0,"9,093,948,080",0.124
2019-08-18,11394,11505,11508,11267,391080.0,"4,455,965,520",0.052
2019-08-25,10910,10312,10923,10267,519010.0,"5,662,399,100",-0.104
2019-09-01,10371,10136,10568,10136,568770.0,"5,898,713,670",-0.017
2019-09-08,10348,9728,10431,9720,542790.0,"5,616,790,920",-0.04
2019-09-15,10309,10402,10478,10095,473760.0,"4,883,991,840",0.069
2019-09-22,10255,10311,10360,10108,372530.0,"3,820,295,150",-0.009
2019-09-29,9702,10031,10048,9656,431100.0,"4,182,532,200",-0.027
